<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	0.88822	0.88832	0.88680	0.88680	1412	0	30
2010.01.04	01:00:00	0.88682	0.88747	0.88602	0.88618	1932	0	34
2010.01.04	02:00:00	0.88617	0.88675	0.88556	0.88675	1922	0	32
2010.01.04	03:00:00	0.88676	0.88754	0.88631	0.88706	1476	0	30
2010.01.04	04:00:00	0.88704	0.88798	0.88697	0.88758	944	0	30
2010.01.04	05:00:00	0.88757	0.88834	0.88750	0.88800	1106	0	23
2010.01.04	06:00:00	0.88801	0.88867	0.88778	0.88845	944	0	15
2010.01.04	07:00:00	0.88843	0.88863	0.88774	0.88845	1619	0	22
2010.01.04	08:00:00	0.88842	0.88876	0.88774	0.88856	2491	0	19
2010.01.04	09:00:00	0.88860	0.88868	0.88644	0.88744	2658	0	19
2010.01.04	10:00:00	0.88745	0.88828	0.88658	0.88816	2956	0	20
2010.01.04	11:00:00	0.88814	0.88936	0.88633	0.88868	2850	0	18
2010.01.04	12:00:00	0.88867	0.88871	0.88701	0.88715	2391	0	19
2010.01.04	13:00:00	0.88716	0.89211	0.88698	0.89073	2997	0	17
2010.01.04	14:00:00	0.89064	0.89235	0.89063	0.89228	2525	0	19
2010.01.04	15:00:00	0.89230	0.89298	0.89159	0.89219	2810	0	18
2010.01.04	16:00:00	0.89218	0.89586	0.89109	0.89553	3547	0	18
2010.01.04	17:00:00	0.89550	0.89653	0.89436	0.89501	2711	0	18
2010.01.04	18:00:00	0.89503	0.89511	0.89363	0.89365	1625	0	19
2010.01.04	19:00:00	0.89369	0.89538	0.89359	0.89510	1422	0	19
2010.01.04	20:00:00	0.89509	0.89533	0.89461	0.89526	1230	0	34
2010.01.04	21:00:00	0.89527	0.89575	0.89487	0.89487	1177	0	30
2010.01.04	22:00:00	0.89488	0.89589	0.89486	0.89585	1065	0	34
2010.01.04	23:00:00	0.89581	0.89583	0.89536	0.89546	1181	0	34
2010.01.05	00:00:00	0.89547	0.89558	0.89464	0.89504	1013	0	30
2010.01.05	01:00:00	0.89505	0.89525	0.89443	0.89513	1705	0	30
2010.01.05	02:00:00	0.89512	0.89747	0.89510	0.89663	1522	0	30
2010.01.05	03:00:00	0.89662	0.89686	0.89538	0.89538	1553	0	30
2010.01.05	04:00:00	0.89537	0.89657	0.89536	0.89635	1134	0	30
2010.01.05	05:00:00	0.89636	0.89698	0.89570	0.89654	1469	0	25
2010.01.05	06:00:00	0.89651	0.89706	0.89566	0.89643	1807	0	22
2010.01.05	07:00:00	0.89644	0.89668	0.89502	0.89615	1968	0	22
2010.01.05	08:00:00	0.89614	0.89777	0.89564	0.89745	2443	0	20
2010.01.05	09:00:00	0.89744	0.89934	0.89713	0.89859	3049	0	19
2010.01.05	10:00:00	0.89858	0.89954	0.89694	0.89887	3029	0	15
2010.01.05	11:00:00	0.89885	0.90122	0.89874	0.90100	2828	0	19
2010.01.05	12:00:00	0.90101	0.90101	0.89980	0.90030	2249	0	18
2010.01.05	13:00:00	0.90029	0.90078	0.90005	0.90020	1776	0	18
2010.01.05	14:00:00	0.90021	0.90148	0.89935	0.89944	2392	0	15
2010.01.05	15:00:00	0.89941	0.89978	0.89750	0.89760	2987	0	18
2010.01.05	16:00:00	0.89759	0.89936	0.89748	0.89911	3014	0	18
